run,race,range,hour
SRR16633301,Caucasian,all,10
SRR16633302,Caucasian,all,14
SRR16633303,Caucasian,all,18
SRR16633304,Caucasian,all,22
SRR16633305,Caucasian,all,26
SRR16633306,Caucasian,all,30
SRR16633307,Caucasian2,all,10
SRR16633308,Caucasian2,all,14
SRR16633309,Caucasian2,all,18
SRR16633310,Caucasian2,all,22
SRR16633311,Caucasian2,all,26
SRR16633312,Caucasian2,all,30
SRR16633313,African_American,all,10
SRR16633314,African_American,all,14
SRR16633315,African_American,all,18
SRR16633316,African_American,all,22
SRR16633317,African_American,all,26
SRR16633318,African_American,all,30
SRR16633319,Caucasian3,all,10
SRR16633320,Caucasian3,all,14
SRR16633321,Caucasian3,all,18
SRR16633322,Caucasian3,all,22
SRR16633323,Caucasian3,all,26
SRR16633324,Caucasian3,all,30
SRR16633325,Hispanic,all,10
SRR16633326,Hispanic,all,14
SRR16633327,Hispanic,all,18
SRR16633328,Hispanic,all,22
SRR16633329,Hispanic,all,26
SRR16633330,Hispanic,all,30
SRR16633331,Caucasian4,all,10
SRR16633332,Caucasian4,all,14
SRR16633333,Caucasian4,all,18
SRR16633334,Caucasian4,all,22
SRR16633335,Caucasian4,all,26
SRR16633336,Caucasian4,all,30
SRR16633337,African_American2,all,10
SRR16633338,African_American2,all,14
SRR16633339,African_American2,all,18
SRR16633340,African_American2,all,22
SRR16633341,African_American2,all,26
SRR16633342,African_American2,all,30
SRR16633343,Asian,all,10
SRR16633344,Asian,all,14
SRR16633345,Asian,all,18
SRR16633346,Asian,all,22
SRR16633347,Asian,all,26
SRR16633348,Asian,all,30
SRR16633349,Caucasian5,all,10
SRR16633350,Caucasian5,all,14
SRR16633351,Caucasian5,all,18
SRR16633352,Caucasian5,all,22
SRR16633353,Caucasian5,all,26
SRR16633354,Caucasian5,all,30
SRR16633355,African_American3,all,10
SRR16633356,African_American3,all,14
SRR16633357,African_American3,all,18
SRR16633358,African_American3,all,22
SRR16633359,African_American3,all,26
SRR16633360,African_American3,all,30
SRR16633361,Asian2,all,10
SRR16633362,Asian2,all,14
SRR16633363,Asian2,all,18
SRR16633364,Asian2,all,22
SRR16633365,Asian2,all,26
SRR16633366,Asian2,all,30
